date,open,close,high,low,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,196.1000061035156,270.29998779296875,286.8099975585937,195.4199981689453,,,270.29998779296875,270.29998779296875
2018-02-28,266.4100036621094,291.3800048828125,297.3599853515625,236.1100006103516,,,274.1327181729403,272.307608468192
2018-03-31,292.75,295.3500061035156,333.9800109863281,275.8999938964844,,,277.9904068875903,274.502122528699
2018-04-30,291.94000244140625,312.4599914550781,338.82000732421875,271.2200012207031,,,284.257604081679,278.1171576645446
2018-05-31,310.3599853515625,351.6000061035156,356.1000061035156,305.7300109863281,,,296.50167717655836,285.11552418254183
2018-06-30,353.8800048828125,391.4299926757813,423.2099914550781,352.82000732421875,,,313.7613709036898,295.24071165808846
2018-07-31,385.4500122070313,337.45001220703125,419.7699890136719,328.0,,,318.0683965952064,299.2606450437021
2018-08-31,335.8699951171875,367.6799926757813,376.80999755859375,310.92999267578125,,,327.0886867916746,305.7767733896144
2018-09-30,366.4700012207031,374.1300048828125,383.2000122070313,335.8299865722656,,,335.641653717336,312.28660496039515
2018-10-31,375.8500061035156,301.7799987792969,386.7999877929687,271.2099914550781,329.3559997558594,,329.48498918314704,311.28597580029054
2018-11-30,304.5899963378906,286.1300048828125,332.04998779296875,250.0,330.9390014648437,,321.60226476490436,308.89016904624503
2018-12-31,293.19000244140625,267.6600036621094,298.7200012207031,231.22999572753903,328.56700134277344,,311.79458092803253,304.9634866287083
2019-01-31,259.2799987792969,339.5,358.8500061035156,256.5799865722656,332.98200073242185,,316.83192985020844,308.25267837835514
2019-02-28,337.17999267578125,358.1000061035156,371.489990234375,336.5,337.54600219726564,,324.3352164417188,313.0000429236085
2019-03-31,362.260009765625,356.5599975585937,379.0,342.4700012207031,338.04200134277346,,330.19426755387786,317.1486100317023
2019-04-30,359.0,370.5400085449219,384.7999877929687,342.2699890136719,335.9530029296875,,337.5298568249768,322.23350512819934
2019-05-31,374.0,343.2799987792969,385.989990234375,341.3900146484375,336.53600158691404,,338.5753371803077,324.2379330949706
2019-06-30,343.5599975585937,367.3200073242187,375.0,332.6499938964844,336.5000030517578,,343.801640842837,328.3409877834704
2019-07-31,373.5,322.989990234375,384.760009765625,305.8099975585937,331.38600158691406,,340.0177043685712,327.8313689692708
2019-08-31,324.25,293.75,328.5799865722656,287.20001220703125,330.5830017089844,329.96950073242186,331.6053944833764,324.5855243055307
2019-09-30,290.82000732421875,267.6199951171875,301.54998779296875,252.27999877929688,328.73200073242185,329.8355010986328,319.97168550770573,319.1602358114028
2019-10-31,267.3500061035156,287.4100036621094,308.75,257.010009765625,330.7070007324219,329.63700103759766,314.0513797175973,316.13640417813673
2019-11-30,288.70001220703125,314.6600036621094,316.82000732421875,281.1400146484375,328.22300109863284,330.60250091552734,314.1620386165995,315.99579460518174
2019-12-31,314.3900146484375,323.57000732421875,338.0,292.0199890136719,324.77000122070314,331.1580017089844,315.87257838162117,316.717148197471
